Event,Obs,Q,Type,Loc/Freq,Particulars_a,begin_datetime,max_datetime,end_datetime
3690,LEA,3,FLA,S08E54,SF,2015-01-01 01:38:00,2015-01-01 01:39:00,2015-01-01 01:41:00
3700,LEA,3,FLA,S08E54,SF,2015-01-01 02:25:00,2015-01-01 02:27:00,2015-01-01 02:29:00
3710,LEA,3,FLA,S08E54,SF,2015-01-01 03:16:00,2015-01-01 03:16:00,2015-01-01 03:20:00
3720,LEA,3,FLA,S08E54,SF,2015-01-01 03:40:00,2015-01-01 03:41:00,2015-01-01 03:44:00
3730,LEA,C,RSP,109-171,CTM/1,2015-01-01 03:51:00,,2015-01-01 04:17:00
3740,LEA,3,FLA,S08E53,SF,2015-01-01 04:30:00,2015-01-01 04:30:00,2015-01-01 04:33:00
3750,G15,5,XRA,1-8A,C2.1,2015-01-01 04:57:00,2015-01-01 05:07:00,2015-01-01 05:17:00
3750,LEA,3,FLA,S07E50,SF,2015-01-01 05:00:00,2015-01-01 05:05:00,2015-01-01 05:19:00
3760,LEA,C,RSP,067-146,III/1,2015-01-01 05:32:00,,2015-01-01 05:33:00
3770,LEA,C,RSP,084-132,CTM/1,2015-01-01 06:08:00,,2015-01-01 08:25:00
3780,G15,5,XRA,1-8A,C2.1,2015-01-01 07:22:00,2015-01-01 07:30:00,2015-01-01 07:38:00
3780,LEA,3,FLA,S06E49,SF,2015-01-01 07:30:00,2015-01-01 07:32:00,2015-01-01 07:37:00
3790,LEA,C,RSP,030-045,VI/1,2015-01-01 07:53:00,,2015-01-01 09:14:00
3800,LEA,3,FLA,S07E50,SF,2015-01-01 09:14:00,2015-01-01 09:15:00,2015-01-01 09:21:00
3810,G15,5,XRA,1-8A,C1.8,2015-01-01 19:03:00,2015-01-01 19:05:00,2015-01-01 19:07:00
3810,HOL,2,FLA,S05E38,SF,2015-01-01 19:04:00,2015-01-01 19:06:00,2015-01-01 19:08:00
3820,LEA,C,RSP,028-085,VI/1,2015-01-02 00:29:00,,2015-01-02 02:12:00
3830,LEA,C,RSP,033-045,VI/1,2015-01-02 02:48:00,,2015-01-02 03:21:00
3840,G15,5,XRA,1-8A,B7.0,2015-01-02 04:33:00,2015-01-02 04:36:00,2015-01-02 04:38:00
3840,LEA,C,RSP,081-180,CTM/1,2015-01-02 04:33:00,,2015-01-02 09:59:00
3850,SVI,C,RSP,104-180,CTM/1,2015-01-02 07:06:00,,2015-01-02 08:05:00
3850,LEA,C,RSP,033-170,VI/1,2015-01-02 07:30:00,,2015-01-02 07:55:00
3860,SVI,3,FLA,S11W37,SF,2015-01-02 08:46:00,2015-01-02 08:47:00,2015-01-02 09:01:00
3860,SVI,C,RSP,103-180,CTM/1,2015-01-02 08:46:00,,2015-01-02 09:29:00
3870,SVI,C,RSP,025-041,III/1,2015-01-02 08:55:00,,2015-01-02 08:55:00
3880,SVI,3,FLA,S05E34,SF,2015-01-02 08:56:00,2015-01-02 08:56:00,2015-01-02 09:03:00
3890,SVI,3,FLA,S11W38,SF,2015-01-02 09:17:00,2015-01-02 09:20:00,2015-01-02 09:24:00
3900,G15,5,XRA,1-8A,B9.3,2015-01-02 09:50:00,2015-01-02 09:53:00,2015-01-02 09:55:00
3900,SVI,3,FLA,S05E33,SF,2015-01-02 09:52:00,2015-01-02 09:53:00,2015-01-02 09:57:00
3910,SVI,3,FLA,S06E33,SF,2015-01-02 11:22:00,2015-01-02 11:23:00,2015-01-02 11:25:00
3920,SVI,3,FLA,S06E33,SF,2015-01-02 11:45:00,2015-01-02 11:46:00,2015-01-02 11:51:00
3930,SVI,3,FLA,S05E33,SF,2015-01-02 12:02:00,2015-01-02 12:02:00,2015-01-02 12:10:00
3940,SVI,3,FLA,S05E33,SF,2015-01-02 12:32:00,2015-01-02 12:33:00,2015-01-02 12:34:00
3950,SAG,G,RBR,245,110,2015-01-02 12:43:00,2015-01-02 12:43:00,2015-01-02 12:43:00
3960,SVI,G,RBR,245,120,2015-01-02 12:57:00,2015-01-02 12:57:00,2015-01-02 12:57:00
3970,SVI,G,RBR,245,150,2015-01-02 13:02:00,2015-01-02 13:02:00,2015-01-02 13:02:00
3990,G15,5,XRA,1-8A,B9.7,2015-01-02 14:05:00,2015-01-02 14:08:00,2015-01-02 14:11:00
4000,G15,5,XRA,1-8A,C1.0,2015-01-02 14:12:00,2015-01-02 14:15:00,2015-01-02 14:17:00
4000,SVI,3,FLA,S04E27,SF,2015-01-02 14:13:00,2015-01-02 14:14:00,2015-01-02 14:18:00
4010,SAG,C,RSP,036-180,III/1,2015-01-02 15:28:00,,2015-01-02 15:29:00
4020,G15,5,XRA,1-8A,C1.1,2015-01-02 19:35:00,2015-01-02 19:38:00,2015-01-02 19:39:00
4030,G15,5,XRA,1-8A,C1.2,2015-01-02 19:47:00,2015-01-02 19:48:00,2015-01-02 19:49:00
4040,SAG,C,RSP,063-180,III/2,2015-01-02 20:09:00,,2015-01-02 20:10:00
4050,SAG,C,RSP,066-180,III/2,2015-01-02 20:15:00,,2015-01-02 20:16:00
4070,PAL,C,RSP,108-180,CTM/1,2015-01-02 22:01:00,,2015-01-02 23:59:00
4060,LEA,C,RSP,105-180,CTM/1,2015-01-02 22:02:00,,2015-01-02 23:24:00
4100,LEA,C,RSP,064-180,CTM/1,2015-01-03 00:01:00,,2015-01-03 06:04:00
4080,LEA,3,FLA,S05E24,SF,2015-01-03 00:12:00,2015-01-03 00:16:00,2015-01-03 00:20:00
4090,G15,5,XRA,1-8A,C1.7,2015-01-03 01:13:00,2015-01-03 01:17:00,2015-01-03 01:21:00
4110,LEA,C,RSP,032-100,VI/1,2015-01-03 04:12:00,,2015-01-03 04:40:00
4120,G15,5,XRA,1-8A,C1.1,2015-01-03 05:52:00,2015-01-03 05:57:00,2015-01-03 06:00:00
4120,LEA,3,FLA,S06E20,SF,2015-01-03 05:56:00,2015-01-03 05:56:00,2015-01-03 06:00:00
4120,LEA,C,RSP,037-058,III/1,2015-01-03 05:59:00,,2015-01-03 06:00:00
